Sum,,29,17403,29112,4612,1362,2231,130,45374,15652
,Title,board,c-suite,director,head,consultant,business,student,technical,others
352,Sr. Technical Member Staff - Cloud Services Engineering,0,0,0,0,0,0,0,1,0
353,Chief Information Officer (CIO),0,1,0,0,0,0,0,1,0
354,Consulting Partner,0,0,0,0,1,0,0,0,0
355,Director IT Operations,0,0,1,0,0,0,0,1,0
356,Software Developer,0,0,0,0,0,0,0,1,0
357,CEO,0,1,0,0,0,0,0,0,0
358,"Manager, Technical Operations",0,0,1,0,0,0,0,1,0
359,IT PMO Director,0,0,1,0,0,0,0,1,0
360,Director of Business Development and Co-CEO,0,1,1,0,0,0,0,0,0
361,Cloud Security Architect,0,0,0,0,0,0,0,1,0
362,"Manager, Software Development",0,0,1,0,0,0,0,1,0
363,"Chief Digital Officer and Head, Enterprise IT Services",0,1,0,1,0,0,0,1,0
364,chief of Technology,0,1,0,0,0,0,0,1,0
365,NA,0,0,0,0,0,0,0,0,1
366,Account Manager,0,0,1,0,0,0,0,0,0
367,Head of Consumer & Merchant Information Services,0,0,0,1,0,0,0,1,0
368,Software Developer,0,0,0,0,0,0,0,1,0
369,Chief Information Officer,0,1,0,0,0,0,0,1,0
370,Enterprise Architect,0,0,0,0,0,0,0,1,0
371,NA,0,0,0,0,0,0,0,0,1
372,Manager of Marketing,0,0,1,0,0,1,0,0,0
373,"IT Architect, Project Leader",0,0,0,1,0,0,0,1,0
374,Software Developer,0,0,0,0,0,0,0,1,0
375,Senior Developer,0,0,0,0,0,0,0,1,0
376,Senior chief / Product Manager,0,1,1,0,0,0,0,0,0
377,"Director, Data Management",0,0,1,0,0,0,0,1,0
378,CIO,0,1,0,0,0,0,0,0,0
379,NA,0,0,0,0,0,0,0,0,1
380,Software Developer,0,0,0,0,0,0,0,1,0
381,Engineer,0,0,0,0,0,0,0,1,0
382,Principal Systems Engineer,0,0,0,0,0,0,0,1,0
383,NA,0,0,0,0,0,0,0,0,1
384,Schief Purchasing,0,1,0,0,0,0,0,0,0
385,Senior Architect / Developer,0,0,0,0,0,0,0,1,0
386,Senior Software Developer,0,0,0,0,0,0,0,1,0
387,Managing Director,0,0,1,0,0,0,0,0,0
388,Enterprise Architect,0,0,0,0,0,0,0,1,0
389,"Manager, Architecture & Development",0,0,1,0,0,0,0,1,0
390,Sr. Director of Marketing,0,0,1,0,0,1,0,0,0
391,IT Architect,0,0,0,0,0,0,0,1,0
392,Software Developer,0,0,0,0,0,0,0,1,0
393,NA,0,0,0,0,0,0,0,0,1
394,"Director, Solution Architecture & Methods",0,0,1,0,0,0,0,1,0
395,"Senior Director, Enterprise Architecture",0,0,1,0,0,0,0,1,0
396,chief Purchasing,0,1,0,0,0,0,0,0,0
397,Software Architect,0,0,0,0,0,0,0,1,0
398,Senior Software Developer,0,0,0,0,0,0,0,1,0
399,NA,0,0,0,0,0,0,0,0,1
400,NA,0,0,0,0,0,0,0,0,1
401,NA,0,0,0,0,0,0,0,0,1
402,"Project Manager, IT Audit and Services Compliance",0,0,1,0,0,0,0,1,0
403,"Manager, Server Operations - Virtualization",0,0,1,0,0,0,0,1,0
404,Software Developer,0,0,0,0,0,0,0,1,0
405,App. Architect,0,0,0,0,0,0,0,1,0
406,NA,0,0,0,0,0,0,0,0,1
407,NA,0,0,0,0,0,0,0,0,1
408,"chief, IT Risk and Compiance",0,1,0,0,0,0,0,1,0
409,"Project Manager, HBO GO Project",0,0,1,0,0,0,0,0,0
410,Software Developer,0,0,0,0,0,0,0,1,0
411,Software Developer,0,0,0,0,0,0,0,1,0
412,"chief, Information Technology",0,1,0,0,0,0,0,1,0
413,"Section Manager, IT Solutions",0,0,1,0,0,0,0,1,0
414,"Director, Information Architecture and Human Factors",0,0,1,0,0,0,0,1,0
415,Chief Information Officer,0,1,0,0,0,0,0,1,0
416,"Bioinfo Software Developer, Som Ophthal Basic Research",0,0,0,0,0,0,0,1,0
417,IT Systems Administrator,0,0,0,0,0,0,0,1,0
418,"chief, Application Core Services",0,1,0,0,0,0,0,1,0
419,Consultant Architect,0,0,0,0,1,0,0,1,0
420,"Senior Director, Technology",0,0,1,0,0,0,0,1,0
421,Test Manager,0,0,1,0,0,0,0,0,0
422,Senior Software Developer,0,0,0,0,0,0,0,1,0
423,Sr. Architect,0,0,0,0,0,0,0,1,0
424,Chief Architect,0,1,0,0,0,0,0,1,0
425,IT Strategist/Architect,0,0,0,0,0,0,0,1,0
426,"chief, Engineering",0,1,0,0,0,0,0,1,0
427,"Manager, Citrix/Virtualization Engineering",0,0,1,0,0,0,0,1,0
428,Senior Software Developer,0,0,0,0,0,0,0,1,0
429,Sr. Software Consultant,0,0,0,0,1,0,0,1,0
430,Chief Information Officer,0,1,0,0,0,0,0,1,0
431,Business IT Manager (Sales & Marketing),0,0,1,0,0,1,0,1,0
432,"Senior Director, Technology",0,0,1,0,0,0,0,1,0
433,Chief Information Officer,0,1,0,0,0,0,0,1,0
434,Senior Software Developer,0,0,0,0,0,0,0,1,0
435,Senior Manager - Software Development,0,0,1,0,0,0,0,1,0
436,Chief Information Officer,0,1,0,0,0,0,0,1,0
437,Chief Information Officer,0,1,0,0,0,0,0,1,0
438,"Senior Director, Technology - DBCOE",0,0,1,0,0,0,0,1,0
439,Chief Information Officer,0,1,0,0,0,0,0,1,0
440,director Software Development,0,0,1,0,0,0,0,1,0
441,Solutions Developer,0,0,0,0,0,0,0,1,0
442,Chief Software Architect,0,1,0,0,0,0,0,1,0
443,"Senior chief, Application Development & Support",0,1,0,0,0,0,0,1,0
444,"director, Information Technology Operations",0,0,1,0,0,0,0,1,0
445,"chief, Virtualization Architecture & Engineering",0,1,0,0,0,0,0,1,0
446,Software Developer,0,0,0,0,0,0,0,1,0
447,Project Leader,0,0,0,1,0,0,0,0,0
448,Chief Information Officer,0,1,0,0,0,0,0,1,0
449,NA,0,0,0,0,0,0,0,0,1
450,"Program Manager, Information Technology Infrastructure",0,0,1,0,0,0,0,1,0
451,"Manager, Information Technology",0,0,1,0,0,0,0,1,0
452,Senior Software Developer,0,0,0,0,0,0,0,1,0
453,Developer,0,0,0,0,0,0,0,1,0
454,EAI Consultant,0,0,0,0,1,0,0,0,0
455,"Director, Application Development",0,0,1,0,0,0,0,1,0
456,"Director, Accounting and System Development",0,0,1,0,0,0,0,1,0
457,"director, Information Technology Systems Engineering",0,0,1,0,0,0,0,1,0
458,Software Developer,0,0,0,0,0,0,0,1,0
459,"Managing Director, Active Trader Desktop Application Development",0,0,1,0,0,0,0,1,0
460,NA,0,0,0,0,0,0,0,0,1
461,"Director, IT Business Solutions",0,0,1,0,0,0,0,1,0
462,"Leader, Enterprise Growth Initiatives Strategy Execution",0,0,0,1,0,0,0,1,0
463,Chief Information Officer,0,1,0,0,0,0,0,1,0
464,Software Developer,0,0,0,0,0,0,0,1,0
465,CTO,0,1,0,0,0,0,0,0,0
466,NA,0,0,0,0,0,0,0,0,1
