Campaign ID,Parent Campaign ID,Member Type,Member Status,Lead ID,Member First Associated Date,Member Status Update Date,Member First Responded Date,Responded,Title,Company,Account Owner,Street Line 3,Country,State/Province,Campaign Name
70130000000trmy,,Lead,Sent,00Q3000001GkC7S,2/8/16,2/8/16,,0,"Director, Information Technology","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7T,2/8/16,2/8/16,,0,"Manager, BI MicroStrategy Development","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7d,2/8/16,2/8/16,,0,Chief Information Officer - Mobile Devices Division,"Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7e,2/8/16,2/8/16,,0,"Senior Manager, Corporate Information Technology","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7f,2/8/16,2/8/16,,0,"Program Manager, Business Process","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7g,2/8/16,2/8/16,,0,"Analyst, SAP Business Intelligence","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7i,2/8/16,2/8/16,,0,"Manager, Data Center Outsourcing","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7k,2/8/16,2/8/16,,0,"Manager, Strategic Planning - Enterprise and Infrastructure","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7l,2/8/16,2/8/16,,0,"Programmer Analyst, SAP","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7o,2/8/16,2/8/16,,0,Global Program Manager - Communications and Investor Relations,"Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC7w,2/8/16,2/8/16,,0,"Director, SAP Technology - Strategic Technology Solutions","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
