Opportunity ID,Account ID,Stage,Billing Country,Billing State/Province,Type,Lead Source,Close Date,Probability (%),Fiscal Period,Age,Created Date
0063000000lA5F7,0013000000jI9Jr,Closed Lost,India,Mumbai,License,,10/28/2011,0,Q4-2011,200,4/11/2011
0063000000llNxX,0013000000jmMEe,Closed Lost,United States,NC,License,,6/30/2011,0,Q2-2011,42,5/19/2011
0063000000lA5DC,0013000000jmMEe,Closed Lost,United States,NC,License,linkedinad,8/30/2011,0,Q3-2011,154,3/29/2011
0063000000lA5DB,0013000000jmMEe,Closed Lost,United States,NC,,,11/30/2010,0,Q4-2010,209,5/5/2010
0063000000lA5D8,0013000000k0DX4,Closed Lost,United Kingdom,,License,Google Natural Search,12/31/2011,0,Q4-2011,240,5/5/2011
0063000000lkh8i,0013000000k8Yo3,Closed Lost,Canada,AB,License,Partner,12/16/2011,0,Q4-2011,217,5/13/2011
0063000000lkt3w,0013000000kXxhG,Closed Lost,New Zealand,Auckland,License,,12/16/2011,0,Q4-2011,214,5/16/2011
0063000000lm38W,0013000000kZ1WO,Closed Won,United States,OH,License,Other,1/27/2012,100,Q1-2012,245,5/27/2011
0063000000vlLpk,0013000000kZ1WO,Closed Lost,United States,OH,Service,,3/19/2013,0,Q1-2013,50,1/28/2013
0063000000q2SZk,0013000000kZ1WO,Closed Won,United States,OH,License,Web Referral,3/30/2012,100,Q1-2012,63,1/27/2012
0063000000uuO27,0013000000kZ1WO,Closed Lost,United States,OH,License,Existing Account,12/9/2013,0,Q4-2013,421,10/14/2012
0063000000lnY14,0013000000nayPP,Closed Lost,United States,CA,License,External Referral,12/30/2011,0,Q4-2011,199,6/14/2011
0063000000mEJSs,0013000000ncV9w,Closed Lost,Japan,,License,linkedinad,12/29/2011,0,Q4-2011,189,6/24/2011
0063000000mEXQw,0013000000ncvnV,Closed Lost,India,California,Perpetual License,apprendasite,12/2/2011,0,Q4-2011,158,6/27/2011
0063000000mGLcL,0013000000ncvnV,Closed Lost,India,California,License,,10/28/2011,0,Q4-2011,102,7/18/2011
0063000000mEhLb,0013000000nd4Yb,Closed Lost,United States,TX,License,Web Site,10/28/2011,0,Q4-2011,122,6/28/2011
0063000000mFFU7,0013000000nduXj,Closed Lost,,,Perpetual License,Partner,9/12/2011,0,Q3-2011,69,7/5/2011
0063000000mGP30,0013000000pANIL,Closed Lost,United States,MD,,apprendasite,10/28/2011,0,Q4-2011,102,7/18/2011
0063000000mGUFC,0013000000pAfGW,Closed Won,Denmark,,License,Web Referral,8/17/2011,100,Q3-2011,29,7/19/2011
0063000000n7iAZ,0013000000q9iWs,Closed Lost,Brazil,,License,Google Natural Search,2/24/2012,0,Q1-2012,190,8/18/2011
0063000000yVdec,0013000000qileD,Closed Lost,United States,NJ,Service,Google Natural Search,12/25/2020,0,Q4-2020,2438,4/23/2014
0063000000yU6pC,0013000000qileD,Closed Lost,United States,NJ,Service,Google Natural Search,12/25/2020,0,Q4-2020,2461,3/31/2014
0063000000n8cmU,0013000000qileD,Closed Lost,United States,NJ,License,redmonddev,10/31/2011,0,Q4-2011,67,8/25/2011
0063000000nVHeG,0013000000rGXHn,Closed Lost,Saint Martin,,License,Bing Natural Search,11/30/2011,0,Q4-2011,82,9/9/2011
0063000000nX8kf,0013000000rI0rA,Closed Won,United States,MA,License,Partner,12/5/2011,100,Q4-2011,76,9/20/2011
0063000000sarrB,0013000000sDRFe,Closed Won,United Kingdom,NJ,License,Google Natural Search,10/11/2012,100,Q4-2012,164,4/30/2012
